contact_id,first_name,last_name,email,cf_id,company_name,launch_date,end_date,remaining_goal_amount
4524,Zbigniew,Holmes,zbigniew.holmes@stiffel.net,2926,"Glass, Nunez and Mcdonald",2021-10-12,2022-01-18,5869.00
4499,Zaira,Cattaneo,zaira.cattaneo@yahoo.com,2901,Miller-Patel,2021-11-21,2021-12-19,56007.00
3096,Zacharie,Cordier,zacharie.cordier@gmail.com,698,"Hamilton, Wright and Chavez",2021-01-14,2021-07-07,72854.00
1563,Yvonne,Stout,yvonne.stout@sims.edu,1260,Smith-Smith,2021-03-10,2021-05-26,183084.00
2545,Yvette,Harding,yvette.harding@yahoo.co.uk,1439,"Ayala, Crawford and Taylor",2021-02-16,2022-01-17,1222.00
3857,Yves,Mendez,yves.mendez@gmail.com,435,Stevenson PLC,2021-02-19,2021-07-23,159190.00
2251,Yolanda,Snyder,yolanda.snyder@gmx.de,2653,Spencer-Bates,2020-11-20,2021-07-27,55686.00
2212,Wilfrido,Lorch,wilfrido.lorch@leclerc.fr,1862,David-Clark,2021-09-02,2021-12-31,864.00
1487,Wendy,Bustos,wendy.bustos@libero.it,2776,Hughes Inc,2021-01-17,2021-01-30,2380.00
1326,Volkmar,Gauthier,volkmar.gauthier@hotmail.com,1780,Dominguez-Owens,2021-07-16,2021-08-17,118171.00
5508,Vito,Dossi,vito.dossi@hotmail.co.uk,2122,Black-Graham,2021-09-17,2021-10-03,138369.00
5008,Virginia,Caetani,virginia.caetani@sosa.biz,87,Woods-Clark,2021-01-18,2021-03-20,4970.00
3855,Vincenza,Key,vincenza.key@adams.com,835,"Becker, Rice and White",2020-09-24,2021-05-26,98.00
5500,Vincentio,Sanders,vincentio.sanders@voila.fr,1561,Ortiz-Roberts,2021-06-09,2021-06-18,961.00
4400,Vincent,Singh,vincent.singh@gmail.com,164,Obrien-Aguirre,2021-02-15,2021-11-12,92543.00
1409,Victoria,Ojeda,victoria.ojeda@doehn.com,3062,Sutton PLC,2020-07-25,2021-05-11,5212.00
1268,Vicente,Tijerina,vicente.tijerina@montanariello.com,1834,King Inc,2020-08-06,2021-08-30,3022.00
5501,Venancio,Stadelmann,venancio.stadelmann@gmx.de,2404,Allen-Curtis,2020-09-13,2021-09-17,28004.00
2651,Vanesa,Khan,vanesa.khan@voila.fr,879,Cook LLC,2021-02-24,2021-09-04,1162.00
4838,Valentine,Acosta,valentine.acosta@peters.net,1265,Deleon and Sons,2021-01-11,2021-12-28,20691.00
3329,Uberto,Steele,uberto.steele@outlook.com,1719,"Hood, Perez and Meadows",2020-04-04,2021-03-11,99.00
2670,Trevor,Granados,trevor.granados@gmail.com,3042,Vasquez Inc,2020-12-02,2021-07-02,6078.00
2031,Tracey,Laboy,tracey.laboy@bell.biz,1324,Gross PLC,2020-03-24,2021-03-11,110583.00
3209,Toralf,Iglesias,toralf.iglesias@borrego.com,2999,Edwards-Lewis,2022-01-15,2022-02-03,144608.00
3321,Tony,Nicolas,tony.nicolas@morrocco-seddio.net,296,"Lee, Ali and Guzman",2020-09-15,2021-02-23,5011.00
5216,Tonino,Stanley,tonino.stanley@hotmail.com,379,Blair Group,2020-11-17,2021-11-23,4379.00
4708,Toni,Magrassi,toni.magrassi@gmail.com,2968,Smith-Powell,2021-09-09,2021-10-21,2639.00
1830,Tomislav,Stoppani,tomislav.stoppani@corporacin.org,564,Everett-Wolfe,2020-12-09,2021-06-14,2276.00
4594,Toby,Etzler,toby.etzler@industrias.com,80,Guzman Group,2021-02-10,2021-09-22,17523.00
5713,Tobias,Carbajal,tobias.carbajal@live.com,3138,Joyce PLC,2020-09-25,2021-05-18,426.00
2131,Tina,Rodriguez,tina.rodriguez@web.de,197,Stewart-Coleman,2021-01-15,2021-03-09,75593.00
2996,Timothy,Weitzel,timothy.weitzel@gmail.com,2371,Stevens Inc,2021-10-08,2021-11-27,6654.00
2114,Timoteo,Bolnbach,timoteo.bolnbach@laboratorios.com,1458,"Summers, Gallegos and Stein",2020-09-24,2021-07-27,182572.00
5466,Thierry,Schwartz,thierry.schwartz@travaglio.net,1216,King-Morris,2020-11-27,2021-06-29,124285.00
4922,Thibault,Savorgnan,thibault.savorgnan@butler.biz,913,Clements Group,2021-02-10,2021-04-08,4104.00
5343,Terry,Ramirez,terry.ramirez@hotmail.co.uk,640,"Williams, Johnson and Campbell",2020-09-14,2021-04-07,3961.00
2383,Terri,Iannelli,terri.iannelli@hotmail.com,1635,"Acosta, Mullins and Morris",2021-05-28,2021-07-01,35173.00
2966,Teresa,Vecellio,teresa.vecellio@yahoo.com,2354,"Jones, Contreras and Burnett",2021-01-27,2021-12-16,133741.00
5027,Tammy,Ramazzotti,tammy.ramazzotti@gmail.com,29,"Hernandez, Rodriguez and Clark",2021-03-12,2022-01-05,4741.00
2790,Tadeusz,Medina,tadeusz.medina@jackson-clark.net,1699,Meyer-Avila,2020-12-02,2021-05-28,3900.00
5436,Svetlana,Montanariello,svetlana.montanariello@putz.de,1586,Case LLC,2020-02-28,2021-03-01,140143.00
1725,Svenja,Perrin,svenja.perrin@berger.com,65,Berry-Richardson,2020-05-28,2021-05-29,8362.00
3858,Suzanne,Benigni,suzanne.benigni@mennea-morlacchi.com,2530,Delgado-Hatfield,2020-12-14,2021-07-06,96.00
1664,Susi,Steinberg,susi.steinberg@preiss.com,1213,"Bradshaw, Gill and Donovan",2020-09-07,2021-07-29,12857.00
5534,Steven,Folliero,steven.folliero@noos.fr,1956,"Avery, Brown and Parker",2020-08-11,2021-06-25,2787.00
3176,Stephen,Pratesi,stephen.pratesi@hotmail.com,694,"Potter, Harper and Everett",2020-06-12,2021-07-09,55645.00
1558,Stephanie,King,stephanie.king@cervantes.com,875,Johnson-Gould,2021-03-24,2022-01-27,3011.00
2260,Steffen,Mangold,steffen.mangold@paul.net,625,Rodriguez-Brown,2021-01-29,2021-06-20,70650.00
4148,Stefano,Lemonnier,stefano.lemonnier@binner.com,2551,Smith-Mullins,2020-12-22,2021-12-21,112302.00
3904,Stefani,Ughi,stefani.ughi@hotmail.it,1327,"Page, Holt and Mack",2021-08-01,2021-10-14,21180.00
1533,Stanley,Mills,stanley.mills@parker-lee.biz,675,"Lane, Ryan and Chapman",2021-02-22,2021-04-01,626.00
1424,Sonja,Patberg,sonja.patberg@hotmail.com,864,Murphy LLC,2021-02-21,2021-06-16,8432.00
3390,Sole,Trevino,sole.trevino@hotmail.com,2667,Hansen-Austin,2020-05-11,2021-03-18,780.00
6191,Slobodan,Camiscione,slobodan.camiscione@hotmail.com,2529,"Valenzuela, Davidson and Castro",2021-04-14,2021-07-10,5473.00
3460,Silvano,Blanchet,silvano.blanchet@yahoo.com,2514,"Adams, Willis and Sanchez",2021-04-25,2021-07-05,1823.00
3275,Shelly,Guichard,shelly.guichard@gmail.com,1707,Vance-Glover,2021-02-27,2021-11-06,206.00
5443,Shelley,Perry,shelley.perry@gierschner.de,2288,Anderson LLC,2020-05-20,2021-06-23,4940.00
5761,Sharon,Diallo,sharon.diallo@gmail.com,2019,Glover-Nelson,2021-04-10,2021-05-18,37241.00
3489,Seth,Olivier,seth.olivier@yahoo.com,990,Morgan-Martinez,2021-03-23,2021-12-06,143744.00
4102,Sergius,Mace,sergius.mace@palazzo.com,2808,Flores-Lambert,2021-07-18,2021-10-05,66205.00
5801,Sean,Mielcarek,sean.mielcarek@gmail.com,2047,Patterson-Johnson,2021-08-30,2021-12-01,3527.00
5818,Scott,Gough,scott.gough@industrias.com,2413,"Patterson, Salinas and Lucas",2020-04-10,2021-04-15,1598.00
5989,Sarah,Davis,sarah.davis@david.com,2568,Castillo-Carey,2020-05-05,2021-05-30,121093.00
3339,Santiago,Berry,santiago.berry@aol.de,120,Kennedy-Miller,2020-03-08,2021-03-25,5649.00
1299,Sandra,Hardy,sandra.hardy@web.de,1950,Kim Ltd,2020-11-14,2021-04-09,671.00
2199,Samuel,Sorgatz,samuel.sorgatz@gmail.com,1365,Larson-Little,2020-12-21,2021-08-23,2335.00
2740,Samira,Bottaro,samira.bottaro@vasseur.fr,30,Yu and Sons,2021-09-28,2021-12-17,1131.00
2215,Samantha,Lowe,samantha.lowe@praga.it,326,"Lopez, Adams and Johnson",2021-07-10,2021-08-03,6280.00
4561,Sabine,Lachmann,sabine.lachmann@phillips.org,649,"Cole, Petty and Cameron",2020-08-12,2021-04-17,97.00
5707,Ryan,Kim,ryan.kim@noos.fr,2973,Cox LLC,2020-10-27,2021-06-27,3803.00
3324,Ruggero,Parpinel,ruggero.parpinel@gmail.com,2302,Harper-Bryan,2020-04-09,2021-03-11,1331.00
4033,Ruby,Carriera,ruby.carriera@hotmail.it,220,"Nelson, Smith and Graham",2020-01-15,2021-02-03,3708.00
6147,Roy,Fox,roy.fox@tejeda.com,2635,Robbins and Sons,2020-09-16,2021-02-27,97.00
2030,Rosl,Lamborghini,rosl.lamborghini@hiller.net,513,"Williams, Orozco and Gomez",2021-04-22,2021-08-20,95.00
2213,Rosa,Paul,rosa.paul@bien.com,2931,Vargas-Cox,2021-05-06,2021-06-22,36426.00
4807,Ron,Cavazos,ron.cavazos@yahoo.com,3136,Smith-Miller,2021-04-08,2021-05-19,576.00
3863,Romana,Blanchard,romana.blanchard@googlemail.com,2729,Wilson and Sons,2021-05-16,2021-10-11,205.00
4420,Roman,Gonzalez,roman.gonzalez@anderson.net,174,Meza-Rogers,2020-11-24,2021-12-26,9486.00
3697,Rico,Mortati,rico.mortati@faivre.fr,1823,Valdez Ltd,2020-06-17,2021-06-26,100.00
1495,Richard,Andre,richard.andre@porras.org,426,Kelly PLC,2021-03-11,2021-07-05,25063.00
3599,Ria,Venier,ria.venier@murillo-estevez.com,3098,"Harris, Medina and Mitchell",2021-01-02,2021-05-11,3617.00
4890,Rhonda,Phillips,rhonda.phillips@yahoo.com,980,"Berger, Johnson and Marshall",2020-12-12,2021-06-18,114641.00
6103,Reynaldo,Wagenknecht,reynaldo.wagenknecht@faure.com,878,"Hall, Holmes and Walker",2021-02-17,2021-06-05,138462.00
3229,Rembrandt,Liguori,rembrandt.liguori@davis.org,2588,"Brown, Palmer and Pace",2021-01-21,2021-07-11,99.00
5753,Reinhilde,White,reinhilde.white@voila.fr,1683,"Rodriguez, Rose and Stewart",2021-11-14,2022-01-02,9371.00
1891,Reingard,Kambs,reingard.kambs@sagese.eu,1779,"Reilly, Aguirre and Johnson",2020-07-18,2021-01-31,4288.00
5318,Reiner,Poerio,reiner.poerio@yahoo.com,2242,"Smith, Mack and Williams",2020-07-04,2021-02-14,2831.00
3849,Reina,Middleton,reina.middleton@hotmail.com,1344,Curtis-Curtis,2021-04-20,2021-10-14,1988.00
5853,Reginald,Hughes,reginald.hughes@gmail.com,595,White LLC,2021-01-01,2022-01-22,48990.00
3012,Raphaela,Gotthard,raphaela.gotthard@outlook.com,1807,Harrison-Bridges,2021-03-04,2021-09-21,75070.00
1542,Randy,Alfieri,randy.alfieri@verri.org,316,Fox Ltd,2020-11-18,2021-11-16,14685.00
2442,Raisa,Poulain,raisa.poulain@fastwebnet.it,1016,"Howell, Myers and Olson",2021-04-24,2021-08-05,21006.00
6217,Rafael,Alexander,rafael.alexander@jenkins.com,647,Cole LLC,2021-08-07,2022-01-13,25998.00
2906,Puccio,Kitzmann,puccio.kitzmann@yahoo.com,1486,Jones-Watson,2021-06-27,2022-01-17,5999.00
6094,Pomponio,Comencini,pomponio.comencini@hotmail.co.uk,1135,"Johnson, Murphy and Peterson",2021-01-28,2021-08-11,71036.00
3364,Pina,Passalacqua,pina.passalacqua@yahoo.co.uk,2393,Price and Sons,2021-10-09,2021-11-29,44516.00
4617,Pierre,Cardenas,pierre.cardenas@luzi-bonomo.eu,2547,"Rush, Reed and Hall",2021-08-12,2021-11-18,5986.00
5388,Pierpaolo,Scaduto,pierpaolo.scaduto@sanders-gibson.com.au,88,"Hogan, Porter and Rivera",2021-07-14,2021-08-23,3887.00
6020,Piermaria,Laporte,piermaria.laporte@wesack.com,2313,Williams-Santos,2021-01-15,2021-04-08,2548.00
2961,Pia,Burgess,pia.burgess@proyectos.org,806,Walter Inc,2020-12-20,2021-01-31,1858.00
4426,Phyllis,Gurule,phyllis.gurule@rodriguez-pham.com,656,Kramer Group,2021-10-09,2021-11-15,1668.00
2793,Philippine,Vaca,philippine.vaca@hotmail.com,3104,Spencer-Weber,2020-12-05,2021-07-13,4147.00
4769,Philip,Perez,philip.perez@hotmail.co.uk,2676,Garcia Group,2020-11-07,2021-03-15,145169.00
3432,Penny,Watson,penny.watson@matthews.net,2665,"Cole, Smith and Wood",2021-05-03,2022-01-25,6752.00
5487,Paulina,Miller,paulina.miller@lewis-barker.com,1136,"Martin, Martin and Solis",2020-05-11,2021-03-29,1221.00
4395,Patrizio,Cisneros,patrizio.cisneros@martinez.edu.au,1876,Smith-Hill,2021-05-09,2021-06-18,3482.00
4548,Patricia,Liebelt,patricia.liebelt@baca.org,2741,Lucas-Mullins,2020-05-27,2021-03-20,6583.00
2075,Pascual,Corradi,pascual.corradi@lopez.net.au,534,"Lowery, Hayden and Cruz",2021-06-03,2021-06-18,2171.00
5441,Pam,Vargas,pam.vargas@guillot.net,890,Fields Ltd,2021-05-23,2021-06-21,176.00
1344,Ottfried,Marques,ottfried.marques@tyler-watson.info,2736,Davis-Gonzalez,2020-05-11,2021-06-01,85109.00
3429,Ottavio,Rust,ottavio.rust@crespi.com,1739,Jackson PLC,2020-12-09,2021-04-07,69737.00
4604,Oreste,Ward,oreste.ward@proyectos.com,1668,"Arias, Allen and Miller",2021-02-14,2021-11-03,64849.00
4213,Olivier,Petrucelli,olivier.petrucelli@letta-raurica.eu,1607,Smith-Hess,2020-04-28,2021-03-10,2748.00
5721,Odette,Moore,odette.moore@hall.edu,2432,Bell PLC,2021-10-07,2021-11-25,98.00
1537,Nuray,Anguillara,nuray.anguillara@yahoo.co.uk,398,Rodriguez-Hansen,2021-09-15,2021-10-26,53.00
5529,Noelia,Romo,noelia.romo@yahoo.com,367,Mcbride PLC,2020-10-18,2021-02-25,146133.00
5652,Nicole,Mccullough,nicole.mccullough@hall.com,1134,"Rogers, Huerta and Medina",2020-04-16,2021-03-02,1575.00
2093,Nicolaus,Bernetti,nicolaus.bernetti@aol.de,2663,Lutz Group,2020-09-07,2021-07-05,1688.00
3714,Nicholas,Christian,nicholas.christian@hotmail.de,378,"Jones, Taylor and Moore",2021-10-08,2021-11-03,98.00
5072,Nelly,Marsh,nelly.marsh@hotmail.it,241,"Young, Gilbert and Escobar",2020-10-11,2021-06-07,94266.00
4181,Nathalie,Alvarez,nathalie.alvarez@live.com,393,"Frye, Hunt and Powell",2021-05-10,2021-08-03,7539.00
3768,Nath,Rico,nath.rico@yahoo.com,2837,Kelly-Colon,2021-09-18,2021-11-30,87211.00
3657,Natalia,Seifert,natalia.seifert@ifrance.com,1927,Porter-Hicks,2021-02-22,2021-06-21,6097.00
3963,Nancy,Hayes,nancy.hayes@hotmail.com,3195,"Calhoun, Rogers and Long",2020-04-25,2021-03-22,3588.00
1941,Nadia,Travaglio,nadia.travaglio@colletti-broggini.com,127,"Jordan, Schneider and Hall",2021-08-12,2021-10-04,1320.00
5842,Mohammad,Hartung,mohammad.hartung@hotmail.com,341,"Young, Hart and Ryan",2021-07-29,2021-09-25,4797.00
5075,Mitchell,Bachmann,mitchell.bachmann@suarez-cruz.com,777,"Hull, Baker and Martinez",2020-03-14,2021-03-13,832.00
2706,Mirko,Townsend,mirko.townsend@schmitt.com,1722,Allen Inc,2021-03-14,2021-06-20,3395.00
5559,Mirjana,Collins,mirjana.collins@hotmail.com,2423,Cooke PLC,2020-12-05,2021-09-25,95.00
5149,Miriam,Oquendo,miriam.oquendo@smith-watson.biz,503,Sanchez Ltd,2021-05-14,2021-08-08,113450.00
1431,Micheletto,Sykes,micheletto.sykes@thompson-thompson.com,2589,Tran LLC,2021-02-20,2021-04-10,1647.00
4939,Michelangelo,Hess,michelangelo.hess@bouygtel.fr,1788,"Hernandez, Norton and Kelley",2020-12-30,2021-08-18,48281.00
2368,Meta,Cuzzocrea,meta.cuzzocrea@howard-jensen.org,565,Briggs PLC,2021-03-23,2021-04-14,80079.00
3723,Melinda,Canova,melinda.canova@orange.fr,1359,Summers PLC,2020-07-31,2021-03-22,5331.00
5565,Megan,Kuhl,megan.kuhl@despacho.com,2765,Ho-Harris,2020-12-01,2021-09-28,6583.00
5095,Maximiliano,Knowles,maximiliano.knowles@gmail.com,2185,"Smith, Brown and Davis",2021-12-27,2022-01-14,147083.00
2987,Maximilian,Siering,maximilian.siering@gaito-fornaciari.org,2139,Vincent PLC,2021-08-13,2021-12-26,250.00
4407,Maurizio,Gute,maurizio.gute@knight.info,2499,"Stafford, Hess and Raymond",2021-09-23,2022-01-18,1560.00
4149,Mattia,Huet,mattia.huet@aol.de,2515,"Vargas, Banks and Palmer",2020-10-07,2021-05-14,150776.00
5261,Matthieu,Mcdonald,matthieu.mcdonald@morrison.org,2098,Freeman-Ferguson,2021-02-10,2021-04-14,3525.00
5871,Matthew,Velasquez,matthew.velasquez@gmail.com,33,Sims-Gross,2021-03-05,2021-03-27,3990.00
6007,Mathilde,Kruschwitz,mathilde.kruschwitz@yahoo.com,1911,Willis and Sons,2021-04-06,2021-06-16,72323.00
2896,Mathew,Maestas,mathew.maestas@casas-garrido.com,1383,Morris Group,2021-02-14,2021-05-09,1755.00
4113,Mason,Potter,mason.potter@gmail.com,2247,Logan-Curtis,2020-11-21,2021-01-19,56077.00
3992,Marzena,Carrero,marzena.carrero@roskoth.de,1193,"Russo, Kim and Mccoy",2020-11-17,2021-09-22,9176.00
5725,Martyn,Caldera,martyn.caldera@hotmail.co.uk,2885,Soto LLC,2021-06-13,2021-11-18,17572.00
5188,Marliese,Oneal,marliese.oneal@gmail.com,2415,Yang and Sons,2021-04-29,2021-11-21,62697.00
2026,Marissa,Gaito,marissa.gaito@reed-campbell.edu,589,Buck-Khan,2021-02-02,2021-09-26,4391.00
4073,Marisela,Mende,marisela.mende@godoy-enriquez.com,2747,Smith Group,2021-08-27,2021-12-19,48928.00
4093,Marie,Zoppetto,marie.zoppetto@kallert.de,1994,Boyle Ltd,2021-03-07,2021-09-06,1320.00
2329,Mariano,Prieto,mariano.prieto@vodafone.it,1905,Romero-Hoffman,2021-06-15,2021-10-26,14450.00
1665,Margaretha,Murialdo,margaretha.murialdo@meunier.com,1879,Nixon Inc,2020-09-04,2021-04-16,137.00
3999,Marcus,Espino,marcus.espino@comolli.eu,2093,Ford LLC,2021-08-01,2021-10-05,1652.00
2913,Marcantonio,Bennett,marcantonio.bennett@hopkins.com.au,313,Bailey and Sons,2021-06-19,2022-01-03,63690.00
